timestamp,Red,IR
1760728289.6246455,53211.0,67757.0
1760728289.6647072,53263.0,67893.0
1760728289.721772,53309.0,68049.0
1760728289.7570965,53344.0,68123.0
1760728289.793797,53363.0,68213.0
1760728289.8303604,53394.0,68342.0
1760728289.8690872,53443.0,68406.0
1760728289.9096885,53424.0,68015.0
1760728289.9487875,53179.0,67167.0
1760728289.9898202,52912.0,66575.0
1760728290.0266554,52815.0,66528.0
1760728290.065936,52847.0,66686.0
1760728290.104649,52908.0,66915.0
1760728290.1470058,52987.0,67187.0
1760728290.1929255,53064.0,67314.0
1760728290.2412422,53071.0,67306.0
1760728290.266655,53070.0,67326.0
1760728290.3139439,53084.0,67393.0
1760728290.3463275,53128.0,67516.0
1760728290.3955328,53169.0,67687.0
1760728290.4452162,53227.0,67863.0
1760728290.4648411,53290.0,68019.0
1760728290.511306,53343.0,68151.0
1760728290.558361,53377.0,68271.0
1760728290.5860767,53407.0,68343.0
1760728290.6266143,53428.0,68439.0
1760728290.6637807,53467.0,68559.0
1760728290.7037752,53484.0,68353.0
1760728290.7436876,53286.0,67532.0
1760728290.7836053,53001.0,66759.0
1760728290.823542,52831.0,66557.0
1760728290.863765,52841.0,66660.0
1760728290.90377,52883.0,66847.0
1760728290.9437628,52958.0,67120.0
1760728290.983548,53047.0,67283.0
1760728291.0235684,53070.0,67324.0
1760728291.0637639,53063.0,67330.0
1760728291.1026134,53078.0,67364.0
1760728291.1426246,53105.0,67490.0
1760728291.1877978,53149.0,67643.0
1760728291.2298899,53207.0,67801.0
1760728291.2660408,53268.0,67983.0
1760728291.3141804,53324.0,68144.0
1760728291.3501134,53371.0,68250.0
1760728291.3925238,53397.0,68350.0
1760728291.4394543,53421.0,68435.0
1760728291.4765313,53451.0,68560.0
1760728291.5046618,53490.0,68582.0
1760728291.5576382,53395.0,67897.0
1760728291.590841,53113.0,67015.0
1760728291.6361291,52871.0,66577.0
1760728291.6763039,52813.0,66593.0
1760728291.7044435,52844.0,66738.0
1760728291.7431276,52910.0,66991.0
1760728291.7881987,53001.0,67215.0
1760728291.8224099,53051.0,67309.0
1760728291.862665,53058.0,67304.0
1760728291.9025857,53048.0,67320.0
1760728291.941793,53068.0,67399.0
1760728291.9817088,53107.0,67508.0
1760728292.0217173,53154.0,67661.0
1760728292.0614007,53204.0,67804.0
1760728292.101988,53248.0,67935.0
1760728292.1414275,53285.0,68013.0
1760728292.1814702,53308.0,68081.0
1760728292.2214994,53328.0,68141.0
1760728292.2615113,53350.0,68204.0
1760728292.3016725,53359.0,68250.0
1760728292.3416195,53355.0,67967.0
1760728292.381704,53145.0,67105.0
1760728292.4215724,52844.0,66348.0
1760728292.461512,52700.0,66204.0
1760728292.5018022,52698.0,66267.0
1760728292.541596,52736.0,66418.0
1760728292.58163,52803.0,66674.0
1760728292.6217155,52868.0,66776.0
1760728292.661573,52877.0,66760.0
1760728292.701527,52862.0,66739.0
1760728292.7415292,52856.0,66794.0
1760728292.7804542,52887.0,66898.0
1760728292.8242717,52934.0,67037.0
1760728292.861655,52982.0,67180.0
1760728292.900583,53031.0,67318.0
